filename,url,category,description,found_on
Logo.png,https://mazaya-travel.id/assets/upload/Logo.png,brand,Logo ikon Mazaya Travel berlatar transparan.,Tentang Kami / header
1760146127_hero.jpeg,https://mazaya-travel.id/assets/upload/1760146127_hero.jpeg,hero,Foto rombongan jemaah di depan Ka'bah pada malam hari.,Beranda
WhatsApp_Image_2024_12_08_at_18_43_33__1__jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2024_12_08_at_18_43_33__1__jpeg.jpeg,documentation,Foto rombongan jemaah di area hotel atau kompleks bangunan.,Galeri dokumentasi
PANDUAN_TAWAF__Niat__Cara___Bacaan_Semasa_Tawaf_jpg.jpg,https://mazaya-travel.id/assets/upload/PANDUAN_TAWAF__Niat__Cara___Bacaan_Semasa_Tawaf_jpg.jpg,documentation,Foto Ka'bah dari jarak dekat dengan langit biru.,Galeri dokumentasi
WhatsApp_Image_2024_12_19_at_14_40_40_jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2024_12_19_at_14_40_40_jpeg.jpeg,documentation,Foto kegiatan rombongan di area wisata atau ziarah.,Galeri dokumentasi
WhatsApp_Image_2024_12_08_at_13_21_20_jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2024_12_08_at_13_21_20_jpeg.jpeg,documentation,Foto kelompok jemaah perempuan di kawasan perkotaan Arab Saudi.,Galeri dokumentasi
WhatsApp_Image_2024_12_08_at_13_48_54_jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2024_12_08_at_13_48_54_jpeg.jpeg,documentation,Foto jemaah pria berpakaian ihram.,Galeri dokumentasi
WhatsApp_Image_2024_12_07_at_05_40_55_jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2024_12_07_at_05_40_55_jpeg.jpeg,documentation,Foto rombongan jemaah di Masjidil Haram dengan Ka'bah di latar.,Galeri dokumentasi
WhatsApp_Image_2024_12_25_at_09_11_57__1__jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2024_12_25_at_09_11_57__1__jpeg.jpeg,documentation,Foto jemaah perempuan sedang berdoa atau beristirahat.,Galeri dokumentasi
WhatsApp_Image_2025_08_19_at_12_27_44_jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2025_08_19_at_12_27_44_jpeg.jpeg,documentation,Foto rombongan di pelataran Masjid Nabawi.,Galeri dokumentasi
WhatsApp_Image_2025_08_20_at_15_52_42_jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2025_08_20_at_15_52_42_jpeg.jpeg,documentation,Foto rombongan membawa spanduk Mazaya Travel.,Galeri dokumentasi
WhatsApp_Image_2025_08_24_at_04_57_58_jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2025_08_24_at_04_57_58_jpeg.jpeg,documentation,Foto rombongan jemaah di depan Ka'bah pada malam hari.,Galeri dokumentasi
WhatsApp_Image_2025_08_26_at_14_42_40__1__jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2025_08_26_at_14_42_40__1__jpeg.jpeg,documentation,Foto seorang jemaah perempuan berdoa menghadap Ka'bah.,Tentang Kami / dokumentasi tambahan
WhatsApp_Image_2025_08_26_at_14_42_35_jpeg.jpeg,https://mazaya-travel.id/assets/upload/WhatsApp_Image_2025_08_26_at_14_42_35_jpeg.jpeg,documentation,Foto dua jemaah berpose dengan Ka'bah di latar.,Tentang Kami / dokumentasi tambahan
oktober_png.png,https://mazaya-travel.id/assets/upload/oktober_png.png,brochure,"Poster paket Umrah Oktober/November 2025: Silver, Gold, dan Platinum.",Form pendaftaran paket Oktober 2025
brosur_desember_png.png,https://mazaya-travel.id/assets/upload/brosur_desember_png.png,brochure,"Poster paket Umrah akhir tahun, keberangkatan 25 Desember 2025.",Form pendaftaran paket Desember 2025
Biru_Hijau_Putih_Modern_Ibadah_Umroh_plus_Turki_Instagram_Story__12__png.png,https://mazaya-travel.id/assets/upload/Biru_Hijau_Putih_Modern_Ibadah_Umroh_plus_Turki_Instagram_Story__12__png.png,brochure,"Poster promo Umrah 19 Januari 2026, paket Rp28,8 juta.",Form pendaftaran paket Januari 2026
